"ID","org","address","phone","website","lon","lat","zipcode","beds_capacity","type"
3148,"St. Landry Extended Care Hospital","3983 i-49 S. Service Rd., 2nd Floor, Opelousas, LA 70570","(337) 948-5184","",-92.079613151,30.4717162900001,"70570",-999,"General Acute Care"
3149,"Children's Hospital at Mission","27700 Medical Ctr. Rd., 5th Fl, Mission Viejo, CA 92691","","http://www.choc.org",-117.665822597,33.56040427,"92691",54,"Children"
3150,"Select Spec Hospital Lukes Campus","2900 w Oklahoma Ave, 5th Fl, Milwaukee, WI 53215","(414) 649-6991","http://milwaukeestlukes.selectspecialtyhospitals.com",-87.95025177,42.9888281730001,"53215",29,"General Acute Care"
3151,"Temple University Hospital","3401 n Broad Street, Hosp Admin Suite D, Philadelphia, PA 19140","(215) 707-2000","http://tuh.templehealth.org/content/default.htm",-75.1509023199999,40.004834859,"19140",728,"General Acute Care"
3152,"Vibra Mahoning Valley Hospital Trumbull Campus","1350 e Market St, 9th Floor, Warren, OH 44482","(330) 726-5021","http://www.vhmvalley.com/trumbull_campus.aspx",-80.7994325879999,41.2357678280001,"44482",34,"Long Term Care"
3153,"Albany Medical Center","43 New Scotland Ave, Albany, NY 12208","(518) 262-3474","http://www.amc.edu",-73.7766574569999,42.653408058,"12208",716,"General Acute Care"
3154,"Gracie Square Hospital","420 e 76th St, 2nd, 3rd, 4th & 5th Floors, New York, NY 10021","(212) 988-4400","http://www.nygsh.org",-73.9530213479999,40.7697165000001,"10021",157,"Psychiatric"
3155,"Healthsouth Rehabilitation Hospital of Gulfport","4500 13th Street, 3rd Floor, Gulfport, MS 39501","(228) 822-6965","http://healthsouthgulfport.com/",-89.1160359789999,30.367418426,"39501",33,"Rehabilitation"
3156,"Upmc Pinnacle Hospital","409, South Second Street, Harrisburg, PA 17105","(717) 782-5181","https://www.pinnaclehealth.org/locations/building/3426",-76.875824,40.256883,"17105",-999,"General Acute Care"
3157,"Select Specialty Hospital - Knoxville","1901 Clinch Avenue, 4th Floor North, Knoxville, TN 37916","(865) 541-2615","http://knoxville.selectspecialtyhospitals.com/",-83.936698318,35.957245872,"37916",35,"Long Term Care"
3158,"Select Specialty Hospital - Memphis","5959 Park Avenue, 12th Floor, Memphis, TN 38119","(901) 765-1425","http://memphis.selectspecialtyhospitals.com/",-89.8640043089999,35.0982335850001,"38119",39,"Long Term Care"
3159,"Select Specialty Hospital - North Knoxville","7557b Dannaher Drive, Suite 145, Powell, TN 37849","(865) 512-2450","http://northknoxville.selectspecialtyhospitals.com/",-83.9976885409999,36.053499097,"37849",33,"Long Term Care"
3160,"Select Specialty Hospital - Tricities","1 Medical Park Boulevard, 5th Floor West, Bristol, TN 37620","(423) 844-5916","http://tricities.selectspecialtyhospitals.com/",-82.256366471,36.585245187,"37620",33,"Long Term Care"
3161,"North Central Surgical Center","9301 North Central Expressway, Unit 100, Dallas, TX 75231","(214) 265-2810","http://northcentral-sc.com/",-96.771363195,32.8752890490001,"75231",25,"General Acute Care"
3162,"Select Specialty Hospital - Longview","700 East Marshall Avenue, 1st Floor, Longview, TX 75601","(903) 315-1105","http://www.gsmc.org",-94.7306669929999,32.50051191,"75601",31,"General Acute Care"
3163,"Kindred Hospital Central Ohio","335 Glessner Avenue, 5th Floor, Mansfield, OH 44903","(419) 526-0777","http://www.khcentralohio.com/",-82.528156365,40.752656556,"44903",33,"Long Term Care"
3164,"Kindred Hospital Dallas Central","8050 Meadow Road, First Floor, Dallas, TX 75231","(469) 232-6500","http://www.khdallascentral.com/",-96.767388328,32.886894897,"75231",60,"Long Term Care"
3165,"Solara Hospital Mcallen","301 West Expressway 83, 8th Floor, Mcallen, TX 78503","(956) 632-4880","http://www.chghospitals.com/mcallen/",-98.225820222,26.1867284680001,"78503",53,"Long Term Care"
3166,"William P. Clements Jr. University Hospital","6161 Harry Hines Boulevard, Suite 100, Dallas, TX 75235","(214) 633-5555","http://www.utswmedicine.org/hospitals-clinics/clements/",-96.848837491,32.818967222,"75235",460,"Long Term Care"
3167,"Cornerstone Hospital - Medical Center","2001 Hermann Drive, Suite 100, Houston, TX 77004","(832) 649-6200","http://www.chghospitals.com/medcenter/",-95.382775528,29.7184899020001,"77004",35,"Long Term Care"
3168,"Select Specialty Hospital - South Dallas","3500 West Wheatland Road, 4th Floor, Dallas, TX 75237","(972) 298-4860","http://southdallas.selectspecialtyhospitals.com/",-96.876613536,32.6460291070001,"75237",69,"Long Term Care"
3169,"Pam Specialty Hospital of Texarkana South","1000 Pine Street, 6th Floor, Texarkana, TX 75501","(903) 798-7600","http://www.warmsprings.org/our-facilities/hospitals/post-acute-medical-specialty-hospital-texarkana-south/",-94.047341588,33.4290854860001,"75501",19,"Long Term Care"
3170,"Select Specialty Hospital - Dallas (Downtown)","3500 Gaston Avenue, 3rd and 4th Floor, Dallas, TX 75246","(972) 227-0093","http://dallasdowntown.selectspecialtyhospitals.com/",-96.780290405,32.79026509,"75246",46,"Long Term Care"
3171,"Kindred Hospital the Heights","1800 West 26th Street, Floors 3,4, & 5, Houston, TX 77008","(713) 907-8686","http://www.khheights.com/",-95.431132665,29.809260393,"77008",68,"Long Term Care"
3172,"Allegiance Behavioral Health Center of Plainview","2601 Dimmit Road, Fourth Floor, Plainview, TX 79072","(806) 296-9191","http://www.ahmgt.com",-101.732591053,34.2065400880001,"79072",20,"Psychiatric"
3173,"Oceans Behavioral Hospital of Abilene","6401 Directors Parkway, Suite 200, Abilene, TX 79606","(972) 464-0022","",-99.74439303,32.3712177140001,"79606",35,"Psychiatric"
3174,"Casa Amistad","1500 Pappas, Unit 664, Laredo, TX 78041","(956) 794-3405","http://www.dshs.texas.gov/mhhospitals/",-99.476905419,27.5369746390001,"78041",-999,"Psychiatric"
3175,"Kate Dishman Rehabilitation Hospital","2830 Calder Street, 6th Floor South, Beaumont, TX 77702","(409) 899-8380","http://www.healthsouthbeaumont.com",-94.1322162549999,30.0869090270001,"77702",27,"Rehabilitation"
3176,"Carrus Rehabilitation Hospital","1810 West Highway 82, Ste 100, Sherman, TX 75092","(903) 870-2600","http://www.carrushospital.com/carrus-rehabilitation-hospital/",-96.635159511,33.66970891,"75092",24,"Rehabilitation"
3177,"Accel Rehabilitation Hospital of Plano","2301 Marsh Lane, Suite 200, Plano, TX 75093","(972) 899-5510","http://accelrehab.com/",-96.8543516669999,33.031395949,"75093",42,"Rehabilitation"
3178,"El Paso Specialty Hospital","1755 Curie, Suite A, El Paso, TX 79902","(915) 544-3636","http://elpasospecialtyhospital.com/",-106.477604707,31.780367594,"79902",31,"Special"
3179,"North Alabama Specialty Hospital","700 West Market St, 2nd Floor, Athens, AL 35611","(256) 262-6767","",-86.9788726029999,34.8042455780001,"35611",31,"Long Term Care"
3180,"Continuing Care Hospital","1026 a Avenue Ne, 6th Floor, Cedar Rapids, IA 52402","(319) 369-8142","https://www.unitypoint.org/cedarrapids/services-continuing-care-hospital.aspx",-91.65971818,41.9857374050001,"52402",24,"Long Term Care"
3181,"Buckhead Ambulatory Surgical Center","2061 Peachtree Rd Nw, Unit 300, Atlanta, GA 30327","(404) 620-4131","http://www.buckheadsurgical.com/",-84.39198305,33.811163675,"30327",-999,"General Acute Care"
3182,"Crescent City Specialty Hospital","535 Commerce St, Ste B, Gretna, LA 70056","(504) 391-1500","http://ccshospital.org/contact.html",-90.029769011,29.8852081470001,"70056",-999,"General Acute Care"
3183,"Select Long Term Care Hospital-Colorado Springs","6001 East Woodmen Road, 6th Floor, Colorado Springs, CO 80923","(719) 571-6000","http://www.selectmedical.com",-104.717296398,38.93828219,"80923",30,"Long Term Care"
3184,"Ochsner Extended Care Hospital of Kenner","180 w Esplanade Ave, Fl 5, Kenner, LA 70065","(504) 464-8590","http://lhcgroup.com/locations/ochsner-extended-care-hospital-of-kenner",-90.271856572,30.0247854180001,"70065",34,"Long Term Care"
3185,"Beacon Behavioral Hospital-New Orleans","14500 Hayne Blvd, Ste 200, New Orleans, LA 70128","(504) 210-0460","http://beaconbh.com/",-89.94840267,30.071342507,"70128",24,"Psychiatric"
3186,"Regency Hospital of South Atlanta","1170 Cleveland Ave, 4th Floor, East Point, GA 30344","","",-84.426894739,33.680271707,"30344",40,"General Acute Care"
3187,"Ministry Sacred Heart Hospital","401 w Mohawk Dr, Suite 100, Tomahawk, WI 54487","(715) 453-7700","http://ministryhealth.org/shh/home.nws",-89.733975414,45.486480333,"54487",18,"Critical Access"
3188,"Promise Hospital of Baton Rouge, Inc.","17000 Medical Center Drive, 3rd Floor, Baton Rouge, LA 70816","(225) 907-7659","http://www.promise-batonrougeochsner.com/",-90.9998042999999,30.442795743,"70816",-999,"Long Term Care"
3189,"Pioneer Specialty Hospital","50 North Perry, 6th Floor, Pontiac, MI 48342","","http://www.pioneerspecialtyhospital.com/?id=contact",-83.290990332,42.6384274050001,"48342",30,"Long Term Care"
3190,"Select Specialty Hospital - Wyandotte, Llc","2333 Biddle Ave, 8th Floor, Wyandotte, MI 48192","","http://downriver.selectspecialtyhospitals.com/",-83.1479200319999,42.210120615,"48192",35,"Long Term Care"
3191,"Regency Hospital of Jackson","969 Lakeland Drive, 6th Floor, Jackson, MS 39216","(601) 364-6200","http://www.regencyhospital.com",-90.164060438,32.332626034,"39216",36,"Long Term Care"
3192,"Select Specialty Hospital - Durham","3643 North Roxboro Street, 6th Floor, Durham, NC 27704","(919) 470-9159","http://durham.selectspecialtyhospitals.com/",-78.9006067019999,36.037497914,"27704",30,"General Acute Care"
3193,"Lincoln Surgical Hospital","1710 South 70th St, Suite 200, Lincoln, NE 68506","(402) 484-9090","http://www.lincolnsurgery.com",-96.6235050069999,40.794733014,"68506",21,"General Acute Care"
3194,"Select Speciality Hospital - Lincoln","2300 South 16th Street, 7th Floor, Lincoln, NE 68502","(402) 361-5755","http://www.selectspecialtyhospitals.com/",-96.699156627,40.789614423,"68502",24,"Long Term Care"
3195,"Sister Emmanuel Hospital","3663 s Miami Ave, 4th Floor, Miami, FL 33133","(305) 285-2697","http://sisteremmanuelhospital.org/",-80.214234317,25.7400337020001,"33133",29,"Long Term Care"
3196,"Noland Hospital Tuscaloosa, Llc","809 University Blvd East, 4th Floor, Tuscaloosa, AL 35401","(205) 759-7241","",-87.5263643769999,33.205174448,"35401",32,"Long Term Care"
3197,"Select Specialty Hospital Mt. Carmel","793 West State Street, 5th Floor, Columbus, OH 43222","(717) 972-1139","http://columbusmountcarmel.selectspecialtyhospitals.com/",-83.022290696,39.957855211,"43222",24,"Long Term Care"
3198,"Select Specialty Hospital-Columbus, Inc","1087 Dennison Avenue, 2nd Floor, Columbus, OH 43201","(717) 972-1139","http://columbusvictorianvillage.selectspecialtyhospitals.com/",-83.008832365,39.984598599,"43201",162,"Long Term Care"
3199,"Select Specialty Hospital Columbus East","181 Taylor Ave, 6th Floor, Columbus, OH 43205","(717) 972-1100","http://columbuseast.selectspecialtyhospitals.com/",-82.962863724,39.970791331,"43205",23,"Long Term Care"
3200,"Kindred Hospital at St Rose De Lima Campus","102 e Lake Mead Parkway, Third Floor, Henderson, NV 89015","(702) 856-0633","http://www.kindredhospitallvds.com/",-114.984406593,36.0389768430001,"89015",-999,"Long Term Care"
3201,"Tahoe Pacific Hospitals-North","2375 e Prater Way, 7th Floor, Sparks, NV 89434","(775) 355-5600","http://www.lifecare-hospitals.com/hospital/tahoepacific",-119.697350201,39.541093979,"89434",-999,"Long Term Care"
3202,"Stamford Hospital","30 Shelburne Road, Po Box 9317, Stamford, CT 6904","(203) 276-1000","http://www.stamhealth.org",-73.5531250769999,41.055016685,"6904",305,"General Acute Care"
3203,"Olathe Medical Center","20375 w 151st St, Unit 303, Olathe, KS 66061","(913) 791-4216","http://www.ohsi.com",-94.8243562169999,38.852751523,"66061",229,"General Acute Care"
3204,"Mercy Hospital","218 e Pack St, Moundridge, KS 67107","(620) 345-6391","http://www.mercyh.org/",-97.516893114,38.2052811360001,"67107",21,"General Acute Care"
3205,"Greenbriar Rehabilitation Hospital","8064 South Avenue, Suite One, Boardman, OH 44512","(330) 965-6432","http://www.advancedspecialtyhospitals.com/Adv-spec-Greenbriar.htm",-80.635042862,41.00301259,"44512",-999,"Rehabilitation"
3206,"Regency Hospital of Cincinnati Llc","10500 Montgomery Road, 1st Floor, Cincinnati, OH 45219","(717) 975-4503","http://cincinnatinorth.selectspecialtyhospitals.com/",-84.341354684,39.252247455,"45219",41,"Long Term Care"
3207,"Haven Behavioral Senior Care of Dayton","One Elizabeth Place, E3 Suite A, Dayton, OH 45417","(615) 393-8879","https://dayton.havenbehavioral.com/",-84.199397619,39.7477398670001,"45417",32,"Psychiatric"
3208,"Baylor Emergency Medical Center","1776 North Us 287, Suite 100, Mansfield, TX 76063","(214) 294-6300","http://www.bayloremc.com/",-97.144877045,32.59672241,"76063",8,"General Acute Care"
3209,"Continuecare Hospital at Hendrick Medical Center","1900 Pine, 7th Floor, Abilene, TX 79601","(325) 670-5151","",-99.733279383,32.4723471620001,"79601",46,"Long Term Care"
3210,"Christus Dubuis Hospital of Beaumont","2830 Calder Avenue, 4th Floor, Beaumont, TX 77702","(409) 899-7680","http://www.dubuis.org/BeaumontandPortArthurSystem-CHRISTUSDubuisHospitalofBeaumont",-94.132927864,30.08725677,"77702",51,"Long Term Care"
3211,"Chi St Lukes Health Memorial Specialty Hospital","1201 West Frank Avenue, Suite 5d, Lufkin, TX 75904","(936) 639-7975","http://www.memorialhealth.us/",-94.74084706,31.336289981,"75904",26,"Long Term Care"
3212,"Kindred Hospital - San Antonio Central","111 Dallas Street, 4th Floor, San Antonio, TX 78205","(210) 297-7195","http://www.kindredsanantoniocentral.com/",-98.492209744,29.4329780730001,"78205",44,"Long Term Care"
3213,"Continuecare Hospital of Midland","4214 Andrews Highway, Suite 320, Midland, TX 79703","(432) 221-1111","http://continuecare.org/midland/",-102.13505488,32.004363207,"79703",29,"Long Term Care"
3214,"Christus Santa Rosa Hospital - Alamo Heights","403 Treeline Park, Building 1, San Antonio, TX 78209","(210) 294-8000","http://www.christusalamoheights.com/",-98.476047638,29.505801773,"78209",36,"General Acute Care"
3215,"Aspire Behavioral Health of Conroe","2006 South Loop 336 West, Suite 500, Conroe, TX 78411","(936) 647-3500","http://www.aspirebhc.com/",-95.480042614,30.2845740180001,"78411",30,"Psychiatric"
3216,"Westbury Community Hospital","6060 Richmond Ave, Unit 380, Houston, TX 77057","(713) 422-2609","",-95.486830636,29.732219015,"77057",137,"Psychiatric"
3217,"Eating Recovery Center","4708 Alliance Boulevard, Third Floor, Plano, TX 75093","(972) 479-5779","https://www.eatingrecoverycenter.com",-96.7920506839999,33.013520628,"75093",24,"Psychiatric"
3218,"Garland Behavioral Hospital","2300 Marie Curive Blvd, 5th Floor, Garland, TX 75042","(972) 487-5309","http://garlandbehavioralhospital.com/",-96.6621031889999,32.9197757310001,"75042",72,"Psychiatric"
3219,"Methodist Ambulatory Surgery Hospital - Northwest","9150 Huebner Road, Suite 100, San Antonio, TX 78240","(210) 575-5080","http://sahealth.com/locations/methodistambulatory/",-98.594971771,29.526880389,"78240",31,"Special"
3220,"The Neuromedical Center Rehabilitation Hospital","10101 Park Rowe Avenue, Ste 600, Baton Rouge, LA 70810","(225) 906-2999","http://www.theneuromedicalcenter.com",-91.094142473,30.379916558,"70810",-999,"Rehabilitation"
3221,"Beacon Behavioral Hospital Northshore","64026 Hwy 434, Ste 300, Lacombe, LA 70445","(985) 882-0226","http://beaconbh.com/",-89.916069873,30.3565113400001,"70445",-999,"Psychiatric"
3222,"Pelican Rehabilitation Hospital, Llc","4201 Woodland Drive, 3rd Floor, New Orleans, LA 70131","(504) 378-5060","",-89.994166725,29.910111742,"70131",-999,"Rehabilitation"
3223,"Bienville Medical Center","1175 Pine St, Ste 200, Arcadia, LA 71001","(318) 263-4700","http://www.ahmgt.com/‎",-92.914573221,32.552682948,"71001",21,"General Acute Care"
3224,"St Agnes Hsptl","430 e Divison St, Fond Du Lac, WI 54935","(920) 929-2300","http://www.agnesian.com",-88.430963645,43.777576792,"54935",146,"General Acute Care"
3225,"Select Specialty Hospital - Daytona Beach","301 Memorial Medical Parkway, 11th Floor, Daytona Beach, FL 32117","(386) 231-3907","http://daytonabeach.selectspecialtyhospitals.com/",-81.107418835,29.2425623280001,"32117",34,"Long Term Care"
3226,"Baptist Health Extended Care Hospital-Little Rock, Inc.","9601 Interstate 630, Exit 7, 10th Floor, Little Rock, AR 72205","(501) 202-6000","",-92.381210002,34.744178898,"72205",55,"Long Term Care"
3227,"Christus Dubuis Hospital of Hot Springs","300 Werner Street, 3rd Floor, Hot Springs, AR 71913","(501) 609-4300","http://www.christusdubuis.org/hotsprings",-93.0672340959999,34.4680542240001,"71913",27,"Long Term Care"
3228,"Riverview Behavioral Health","701 Arkansas Boulevard, Suite 300, Texarkana, AR 71854","(870) 772-5028","",-94.0340908739999,33.461070019,"71854",62,"Psychiatric"
3229,"Cornerstone Hospital Little Rock","2 St Vincent Circle, 6th Floor, Little Rock, AR 72205","(501) 985-7025","http://www.chghospitals.com/littlerock/",-92.338584709,34.7504005270001,"72205",40,"Long Term Care"
3230,"Healthsouth New England Reh at Lowell","1071 Varnum Avenue, Ground Floor, Lowell, MA 1854","(978) 935-5050","http://healthsouthnewengland.com/en/our-hospital/Lowell-location",-71.366929676,42.6451893550001,"1854",22,"Rehabilitation"
3231,"Select Specialty Hospital - Macomb County","215 North Ave, Suite 200, Mount Clemens, MI 48043","","http://www.selectspecialtyhospitals.com/company/locations/macomb .aspx",-82.881855133,42.606449856,"48043",30,"Long Term Care"
3232,"Select Specialty Hospital - Grand Rapids","200 Se Jefferson, 5th Floor, Grand Rapids, MI 49503","","http://www.selectmedicalcorp.com",-85.662583018,42.9581413110001,"49503",20,"Long Term Care"
3233,"Promise Hospital of Vicksburg","1111 Frontage Road, 2nd Floor, Vicksburg, MS 39180","(601) 883-3439","http://www.promise-vicksburg.com",-90.8817234429999,32.3190941180001,"39180",35,"Long Term Care"
3234,"Nebraska Spine Hospital, Llc","6901 North 72nd Street, Suite 20300, Omaha, NE 68122","(402) 572-3000","http://www.nebraskaspinehospital.com",-96.020356324,41.3220543350001,"68122",34,"Special"
3235,"Institute for Orthopedic Surgery","801 Medical Drive, Suite B, Lima, OH 45804","(419) 224-7586","http://www.ioshospital.com",-84.087804002,40.69717236,"45804",12,"Special"
3236,"Kindred Hospital Ocala","1500 Sw 1st Ave, 5th Floor, Ocala, FL 34474","(352) 369-0513","http://www.kindredocala.com/",-82.138373785,29.176103643,"34474",31,"Long Term Care"
3237,"Noland Hospital Dothan, Llc","1108 Ross Clark Circle, 4th Floor, Dothan, AL 36302","(334) 699-4300","",-85.36294421,31.216289171,"36302",38,"Long Term Care"
3238,"Select Specialty Hospital Central Pennsylvania Camp Hill","503 North 21st Street, 5th Floor, Camp Hill, PA 17011","(717) 972-4560","http://www.hsh.org/behavioral-health/",-76.922350546,40.2531619430001,"17011",31,"Long Term Care"
3239,"Kindred Hospital - Delaware County","1500 Lansdowne Avenue, 6th Floor Msb, Darby, PA 19023","(610) 237-4660","http://www.kindreddelco.com",-75.26764194,39.9247344560001,"19023",39,"Long Term Care"
3240,"Haven Senior Horizons","1201 South 7th Avenue, Suite 200, Phoenix, AZ 85007","(623) 236-2000","",-112.081175634,33.4356313480001,"85007",-999,"Psychiatric"
3241,"Select Specialty Hospital Arizona Inc.","7400 East Osborn Rd, 3rd Floor, Scottsdale, AZ 85251","(480) 882-6040","",-111.923228054,33.488841296,"85251",-999,"Long Term Care"
3242,"Wills Eye Hospital","840 Walnut Street, 7th Floor, Philadelphia, PA 19107","(215) 928-3100","https://www.willseye.org/",-75.154894527,39.9478930870001,"19107",-999,"Special"
3243,"Centra Specialty Hospital","3300 Rivermont Avenue, Krise 3, Lynchburg, VA 24503","(434) 200-1960","http://www.centraspecialtyhospital.com/",-79.18779398,37.438258332,"24503",36,"Long Term Care"
3244,"Regency Hospital of Florence","121 e Cedar St, Fl 4, Florence, SC 29506","(843) 661-3471","http://www.regencyhospital.com",-79.76374837,34.189017017,"29506",40,"Long Term Care"
3245,"Oklahoma Center for Orthopaedic & Multi-Specialty","8100 South Walker, Suite C, Oklahoma City, OK 73139","(405) 602-6500","http://www.ocomhospital.com",-97.518976096,35.3852266320001,"73139",14,"Special"
3246,"Eielson Medical Clinic","2630 Central Avenue, Suite 1m07, Eielson Afb, AK 99702","(907) 377-1847","",-147.092624534,64.678406705,"99702",-999,"Military"
3247,"Baylor Emergency Medical Center","511 Fm 544, Suite 100, Murphy, TX 75094","(214) 294-6150","http://www.bayloremc.com/",-96.6243528159999,33.0122339340001,"75094",8,"General Acute Care"
3248,"Chg Cornerstone Hospital of Oklahoma","1900 Gordon Cooper Drive, 2nd Floor, Shawnee, OK 74801","(405) 395-5800","http://www.chghospitals.com/shawnee/",-96.927095686,35.2972616070001,"74801",34,"Long Term Care"
3249,"Pam Specialty Hospital of Victoria South","506 East San Antonio Street, 3rd Fl, Victoria, TX 77901","(361) 575-1445","http://www.warmsprings.org/our-facilities/hospitals/post-acute-medical-specialty-hospital-victoria/",-96.998838048,28.807982684,"77901",23,"Long Term Care"
3250,"Continuecare Hospital at Medical Center Odessa","500 w 4th Street, 4th Floor, Odessa, TX 79761","(432) 640-4380","http://continuecare.org/odessa/",-102.373887419,31.8454514480001,"79761",23,"Long Term Care"
3251,"Kindred Rehabilitation Hospital Arlington","2601 West Randol Mill Road, Unit 101, Arlington, TX 76012","(817) 804-4400","http://www.texasrehabarlington.com/",-97.14422496,32.7560527200001,"76012",24,"Rehabilitation"
3252,"Lafayette General Surgical Hospital","1000 w Pinhook Rd, Ste 100, Lafayette, LA 70503","(337) 289-8088","http://www.lgsh.us",-92.0145877629999,30.2042360070001,"70503",10,"General Acute Care"
3253,"Naval Health Clinic Cherry Point","Beaufort Road, Building 4385, Cherry Point, NC 28533","(252) 466-0266","http://www.med.navy.mil/sites/cpoint/Pages/default.aspx",-76.908676396,34.895165535,"28533",-999,"General Acute Care"
3254,"Specialty Rehabilitation Hospital of Coushatta","1110 Ringgold Ave, Ste B, Coushatta, LA 71019","(318) 932-1770","http://www.specialtyhealthcare.com",-93.340529476,32.0289621420001,"71019",12,"Rehabilitation"
3255,"Promise Hospital of Louisiana-Shreveport Campus","1800 Irving Pl, Ste 100, Shreveport, LA 71101","(318) 425-4096","http://www.promise-shreveport.com",-93.744880575,32.493870674,"71101",146,"Long Term Care"
3256,"St. Bernard Parish Hospital","8000 West Judge Perez Drive, Ste 1600, Chalmette, LA 70043","(504) 826-9500","",-89.9892219709999,29.9547125770001,"70043",-999,"General Acute Care"
3257,"Select Specialty Hospital - Northwest Detroit","6071 West Outer Drive, 7th Floor, Detroit, MI 48235","","http://www.selectspecialtyhospitals.com/company/locations/northwe stdetroit.aspx",-83.183184748,42.419195465,"48235",36,"Long Term Care"
3258,"Acuity Specialty Ohio Valley","380 Summit Avenue, 3rd Floor, Steubenville, OH 43952","(740) 283-4799","http://steubenville.acuityhealthcare.ccgproof.com/",-80.625591309,40.3550688500001,"43952",24,"Long Term Care"
3259,"Central Indiana Amg Specialty Hospital Llc","2401 w University Ave, 8th Fl, Muncie, in 47303","(765) 751-5253","http://www.amgmuncie.com/",-85.413991448,40.1967418420001,"47303",16,"Long Term Care"
3260,"Kindred Hospital Northwest Indiana","5454 Hohman Ave, 5th Fl, Hammond, in 46320","(219) 852-5305","http://www.khnwindiana.com",-87.523073411,41.61515732,"46320",215,"Long Term Care"
3261,"Kindred Hospital Northern Indiana","215 w 4th St, Ste 200, Mishawaka, in 46544","(574) 252-2000","http://www.khnorthernindiana.com/",-86.1819797909999,41.6587080690001,"46544",32,"Long Term Care"
3262,"Select Specialty Hospital Johnstown","320 Main Street, Third Floor, Johnstown, PA 15905","(814) 534-7300","http://johnstown.selectspecialtyhospitals.com/",-78.919924249,40.3052834900001,"15905",39,"Long Term Care"
3263,"Pam Specialty Hospital of Wilkes-Barre","575 North River Street, 7th Floor, Wilkes-Barre, PA 18764","(570) 208-3310","http://www.warmsprings.org/our-facilities/hospitals/post-acute-medical-specialty-hospital-wilkes-barre/",-75.8672619989999,41.2584850010001,"18764",36,"Long Term Care"
3264,"Banner Good Samaritan Medical Center","1300 North 12th Street, Suite 404, Phoenix, AZ 85006","(602) 239-2716","",-112.056997616,33.462887763,"85006",-999,"Special"
3265,"Regency Hospital of Northwest Indiana","4321 Fir St, 4th Fl, East Chicago, in 46312","(219) 392-7790","http://www.regencyhospital.com/company/locations/indiananorthwest- indiana.aspx",-87.4478277059999,41.634446687,"46312",220,"Long Term Care"
3266,"New England Rehabilitation Hospital of Portland","335 Brighton Avenue, Unit 201, Portland, ME 4102","(207) 775-4000","http://www.nerhp.org",-70.291861449,43.6663219910001,"4102",100,"Rehabilitation"
3267,"Sheltering Arms Hospital South","13700 St. Francis Boulevard, Suite 400, Midlothian, VA 23114","(804) 764-5290","http://www.shelteringarms.com/",-77.6589675869999,37.4668081500001,"23114",28,"Rehabilitation"
3268,"Acuity Specialty Hospital Ohio Valley Wheeling","1 Medical Park, 6th Floor, Wheeling, WV 26003","(740) 283-7497","http://belmont.acuityhealthcare.net/",-80.684317291,40.059175714,"26003",13,"Long Term Care"
3269,"St. Catherine of Siena Medical Center","50 Route, 25 A, Smithtown, NY 11787","(631) 862-3100","http://stcatherines.chsli.org/",-73.2229967279999,40.868500186,"11787",306,"General Acute Care"
3270,"Va Medical Center - Castle Point Campus","100 New York, 9d, Castle Point, NY 12511","","http://www.hudsonvalley.va.gov/",-73.963377452,41.5436212820001,"12511",-999,"Military"
3271,"St John's Episcopal Hospital South Shore","700 Hicksville Rd, Ste 210, Bethpage, NY 11714","","http://www.ehs.org/",-73.494566595,40.739233717,"11714",-999,"General Acute Care"
3272,"Cornerstone Hospital of Huntington","2900 First Avenue, 2e, Huntington, WV 25702","(304) 399-2600","http://www.chghospitals.com",-82.400769646,38.431913883,"25702",28,"Long Term Care"
3273,"Select Specialty Hospital - Fort Smith, Inc.","1001 Towson Avenue, Sixth Floor, Fort Smith, AR 72901","(479) 441-3960","",-94.419733006,35.375016573,"72901",34,"General Acute Care"
3274,"Christus Dubuis of Forth Smith","7301 Rogers Avenue, 4th Floor, Fort Smith, AR 72903","(479) 314-4900","",-94.3525274629999,35.355869345,"72903",25,"Long Term Care"
3275,"Healthsouth New England Rehabiliation at Beverly","800 Cummings Center, 1st Fl, Unit147, Beverly, MA 1915","(978) 935-5050","http://www.healthsouthnewengland.com/en/our-hospital/Beverly-location",-70.8872356269999,42.5609868720001,"1915",20,"Rehabilitation"
3276,"Select Specialty Hospital - Flint","401 s Ballenger, 5th Floor, Flint, MI 48532","","http://www.selectspecialtyhospitals.com/company/locations/flint.aspx",-83.732879249,43.014439146,"48532",26,"Long Term Care"
3277,"Select Specialty Hospital - Pontiac","44405 Woodward Avenue, 8th Floor, Pontiac, MI 48341","","http://www.selectspecialtyhospitals.com/company/locations/pontiac. aspx",-83.276815802,42.614037764,"48341",30,"Long Term Care"
3278,"Select Specialty Hospital - Muskegon","1700 Clinton Street, 2 and 3 s Floors, Muskegon, MI 49442","","http://www.selectmedical.com",-86.242255229,43.2234217500001,"49442",31,"Long Term Care"
3279,"Select Specialty Hospital - Battle Creek","300 North Avenue, 6th Floor, Battle Creek, MI 49016","","http://www.selectspecialtyhospitals.com/company/locations/battlecre ek.aspx",-85.1793450489999,42.3306359380001,"49016",25,"Long Term Care"
3280,"Select Specialty Hospital - Saginaw","1447 n Harrison, 7th & 8th Floor, Saginaw, MI 48602","","http://saginaw.selectspecialtyhospitals.com/",-83.955943143,43.4286541060001,"48602",32,"Long Term Care"
