"ID","org","address","phone","email","website","lon","lat","zipcode","capacity_hours"
5573,"Las Clinicas Del Norte, Inc. @ Abiquiu","21124 US-84, Abiquiu, NM 87510","505-685-4479","","http://www.lcdn.org",-106.31037536,36.20773021,"87510",50
5574,"Communihealth Services Marion Family Practice, Dental &amp; Behavioral Health Center","335 Main St, Marion, LA 71260-5253","318-292-2795","","",-92.22720864,32.88480569,"71260",40
5575,"Hlh Administration","2975 Haleko Rd Ste 310, Lihue, HI 96766-1366","808-240-0113","","",-159.372006366731,21.9737335299949,"96766",NA
5576,"Salud Fort Morgan High School","709 E Riverview Ave # 201, Fort Morgan, CO 80701-3263","303-697-2583","","http://www.saludclinic.org",-103.7935898,40.26124048,"80701",7
5577,"Women, Infants, and Children (Wic)  Caroline County","403 S 7th St, Denton, MD 21629-1327","410-479-8060","","http://www.choptankhealth.org",-75.82805341,38.87953269,"21629",8
5578,"Hurlock Head Start Center","6210 Shiloh Church Hurlock Rd, Hurlock, MD 21643-3933","410-943-1036","","http://www.choptankhealth.org",-75.8597403,38.62020964,"21643",4
5579,"Chc/Sek Pittsburg Middle School","1310 N Broadway St, Pittsburg, KS 66762-3040","620-235-3240","","",-94.70483887,37.41947986,"66762",40
5580,"Family Health Center Taylorsville","531 Highway 28 E, Taylorsville, MS 39168-5635","601-785-9580","","http://www.lfhc.net",-89.41937928,31.82887984,"39168",40
5581,"Hudson River Healthcare Spring Valley","2 Perlman Dr, Spring Valley, NY 10977-5245","845-573-9860","","http://www.hrhcare.org",-74.0315291678334,41.1052625616091,"10977",55
5582,"Westside Community Clinic","1210 Douglass Rd, Nacogdoches, TX 75964-4904","936-560-1122","","http://www.etchc.com",-94.66797361,31.60660916,"75964",40
5583,"Union High School Health Center","1800 Tremont Blvd NW, Grand Rapids, MI 49504-4868","616-791-6593","","http://www.cherryhealth.org",-85.71231226,42.97494056,"49504",32
5584,"Centro Servicios Primarios De Salud De Patillas Inc.","99 Calle Guillermo Riefkol, Patillas, PR 00723","787-839-4446","","",-66.0138036257573,18.0055288525956,"00723",82.5
5585,"Carevide","920 N Center St, Bonham, TX 75418-3751","903-583-6155","","http://carevide.org",-96.17778901,33.58237585,"75418",52
5586,"Kenosha Community Health Center, Inc.","903 S 2nd St, Silver Lake, WI 53170-1747","262-656-0044","","http://www.kenoshachc.org",-88.16980495,42.54224417,"53170",50
5587,"Community Health Center of Elkton","800 Shenandoah Ave Ste 170, Elkton, VA 22827-3060","540-298-9900","","",-78.62361098,38.4164224,"22827",50
5588,"Ezra Medical Center Administration","1312 38th St, Brooklyn, NY 11218-3612","718-686-7600","","http://www.ezramedical.org",-73.98524105,40.64085998,"11218",67
5589,"c a r e Team Express Mobile Medical Unit","111A Berry Ave, Greer, SC 29651-1307","864-801-2035 x1212","","http://www.newhorizonfhs.org",-82.22420194,34.94630658,"29651",32
5590,"Southside Medical Center Decatur","540 Fayetteville Rd SE, Atlanta, GA 30316-2306","404-688-1350","","",-84.31128773,33.73923017,"30316",40
5591,"Commerce Community Health Center","220 S Mickey Mantle Blvd, Commerce, OK 74339-2924","918-675-0017","","",-94.86741486,36.931536,"74339",96
5592,"Camcare - Gateway Health Center","817 Federal St, Camden, NJ 08103-1539","856-541-3270","","http://www.camcare.net",-75.11558458,39.94411437,"08103",52
5593,"Woodrow Wilson School-Based Clinic","400 Stanaford Rd, Beckley, WV 25801-3144","304-461-3341","","",-81.16804625,37.80040565,"25801",7.5
5594,"Mont Pleasant Middle School","1121 Forest Rd, Schenectady, NY 12303-1219","518-370-1441","","",-73.93918049,42.797061,"12303",40
5595,"Spring Branch Chc- Hillendahl Clinic","1615 Hillendahl Blvd Ste 100, Houston, TX 77055-3402","713-462-6565","","http://www.sbchc.net",-95.49455849,29.800188,"77055",40
5596,"Baptist Community Health Services- Sanchez Center","1616 Caffin Ave, New Orleans, LA 70117-2950","504-533-4999","","http://www.bchsnola.org",-90.01413022,29.96641753,"70117",42
5597,"Heartland Health Center - Administrative Offices","3335 W Capital Ave, Grand Island, NE 68803-1334","308-382-4297","","",-98.37944902,40.94599046,"68803",40
5598,"Camino Health Center - Lake Forest","22481 Aspan St Ste A, Lake Forest, CA 92630-1648","949-240-2272","","http://www.caminohealthcenter.org",-117.71264588,33.63578764,"92630",60
5599,"Regional Health Care Affiliates, Inc.  Dba. Health First Community Health Center - Calhoun","295 Main St, Calhoun, KY 42327-2104","270-273-9310","","http://healthfirstchc.net/",-87.2583964,37.53820009,"42327",40
5600,"Cahaba Medical Care - Brent Elementary School","160 4th St, Brent, AL 35034-3739","205-928-6045","","http://www.cahabamedicalcare.com",-87.16139867,32.94091795,"35034",40
5601,"Greater Portland Health at Harrison Lyseth Elementary School","175 Auburn St, Portland, ME 04103-2131","207-874-8215","","",-70.29002286,43.70623707,"04103",1
5602,"Gateway Community Health Centers, Inc","501 Main St, Gatesville, NC 27938-9424","252-357-1226","","http://www.albemarlehealth.org",-76.7533815,36.40878899,"27938",48
5603,"South Suburban Homeless Outreach Center","15420 Dixie Hwy Unit G, Harvey, IL 60426-3479","877-692-8686","","http://www.auntmarthas.org",-87.67073701,41.60891762,"60426",40
5604,"Bonnabel High School Sbhc Mental Health Services",", Kenner, LA ","985-785-5871","","http://www.accesshealthla.org",-90.24198999,29.9902,"",35
5605,"Eastmont Wellness","6955 Foothill Blvd, Oakland, CA 94605-2455","510-567-5700","","http://www.eastmontahs.org",-122.17322881,37.769253,"94605",40
5606,"Hinton Area Elementary School Wellness Center","121 Park Ave, Hinton, WV 25951-2448","304-466-6024","","",-80.89184724,37.670301,"25951",28
5607,"Heartland Community Health Clinic Dba: Heartland Health Services - Administration","2214 N University St, Peoria, IL 61604-3221","309-680-7600","","http://www.heartlandchc.org",-89.61300526,40.71479366,"61604",NA
5608,"West Mobile Family Medical Center","801 S University Blvd Ste D, Mobile, AL 36609-2949","251-344-1964","","",-88.16755368,30.6638742,"36609",40
5609,"Heritage Health Post Falls","925 E Polston Ave, Post Falls, ID 83854-9049","208-618-0787","","http://www.myheritagehealth.org",-116.93525391,47.71457248,"83854",50
5610,"John Ferguson Senior High School","15900 SW 56th St, Miami, FL 33185-3880","305-408-2700","","http://www.chisouthfl.org",-80.45213158,25.71318053,"33185",40
5611,"The Wright Center for Community Health Ryan White Clinic","640 Madison Ave, Scranton, PA 18510-1631","570-941-0630","thomasl@thewrightcenter.org","https://thewrightcenter.org/home/patientcare/locations/infectious-disease-clinic/",-75.6534465,41.411268,"18510",40
5612,"Amhs Anaheim","2035 E Ball Rd, Anaheim, CA 92806-5159","714-517-6150","","",-117.88806898,33.81812745,"92806",12
5613,"Southland Integrated Services, Inc.","9862 Chapman Ave Ste B, Garden Grove, CA 92841-2726","714-620-7001","","http://www.southlandintegrated.org",-117.96083306,33.78848954,"92841",68
5614,"Martinez Health Center-Family Medicine 3a","2500 Alhambra Ave # 3A, Martinez, CA 94553-3156","925-370-5851","","",-122.131017977744,38.0062892557368,"94553",60
5615,"Intercommunity South Windsor","828 Sullivan Ave Bldg 1st, South Windsor, CT 06074-2093","860-569-5900","kimbeauregard@intercommunityct.org","",-72.56857052,41.84797685,"06074",40
5616,"Monroe County Health Center","200 Health Center Dr, Union, WV 24983-8442","304-772-3064","","http://www.monroehealthcenter.com",-80.5473294,37.58879819,"24983",44
5617,"Aunt Martha's Health Center West Joliet","333 Madison St Ste 150, Joliet, IL 60435-8200","877-692-8686","","http://www.auntmarthas.org",-88.13464745,41.527881,"60435",60
5618,"Palmetto Family Healthcare Ctr","404 7th St W, Palmetto, FL 34221-5209","941-729-3856","","http://www.mcrhs.org",-82.5677103,27.51746751,"34221",44
5619,"Frederiksted Health Care, Inc. Dental East","1E Orange Grove, Christiansted, VI 00820","340-718-0402","","",-64.69644889,17.7428049,"00820",45
5620,"Mallory Community Health Center School Based Clinics - William Dean Elementary School","96 Rockport Rd, Lexington, MS 39095-5166","662-834-1333","","https://sites.google.com/a/holmes.k12.ms.us/william-dean-jr-elementary-school/",-90.03357789,33.1097749,"39095",35
5621,"Family Medical Center - Thurgood Marshall School","15531 Linwood St Rm 102, Detroit, MI 48238-1465","734-654-2169","","",-83.12747758,42.40609502,"48238",24
5622,"Greater Portland Health Oxford Street","234 Oxford St, Portland, ME 04101-3029","207-874-2141","","",-70.26131828,43.65931395,"04101",45
5623,"Creekside Pediatrics","1265 Creekside Pkwy Ste 208, Naples, FL 34108-1954","239-658-3000","","",-81.79131836,26.27117743,"34108",45
5624,"San Diego American Indian Health Center","2630 1st Ave, San Diego, CA 92103-6599","619-234-2158","","http://www.sdaihc.com",-117.16399968,32.73275073,"92103",40
5625,"David Douglas High School Student Health Center","1034 SE 130th Ave, Portland, OR 97233-1616","503-988-3554","","http:////multco.us",-122.52995891,45.51556641,"97233",40
5626,"Rockfish River Elementary School","200 Chapel Hollow Rd, Afton, VA 22920-3145","434-361-1791","","",-78.84109933,37.94391664,"22920",40
5627,"Westside Family Healthcare - Newark","27 Marrows Rd, Newark, DE 19713-3701","302-455-0900","","http://www.westsidehealth.org",-75.72692282,39.66509777,"19713",52
5628,"First Choice @ Rockville High School","70 Loveland Hill Rd, Vernon Rockville, CT 06066-6836","860-528-1359 x183","","http://www.firstchc.org",-72.48249653,41.85693393,"06066",15
5629,"Accesshealth Glen Daniels Clinic","7127 Harper Rd, Glen Daniel, WV 25844","304-252-8324","","http://www.accesshealthwv.com",-81.34011778,37.77898772,"25844",42
5630,"Greater Philadelphia Health Action, Inc. Dental and Behavioral Healthcare","5501 Woodland Ave, Philadelphia, PA 19143-5607","215-925-2400","","http://gphainc.org",-75.220821,39.93546599,"19143",37
5631,"Los Angeles Community Clinic - 1830 W. Olympic Blvd.","1830 W Olympic Blvd Ste 124, Los Angeles, CA 90006-3734","213-383-1183","","http://www.lacommunityclinic.org",-118.27733432,34.05055317,"90006",44
5632,"Open Door Family Planning Clinic","905 S Walnut St, Muncie, IN 47302-2333","765-286-7000","","http://www.opendoorhs.org",-85.38650748,40.18608905,"47302",45
5633,"Strawberry Mansion Health Center","2840 W Dauphin St, Philadelphia, PA 19132-4627","215-685-2411","Steven.Benson@phila.gov","",-75.17882237,39.99076148,"19132",44
5634,"La Maestra El Cajon Dental Clinic","183 S 1st St, El Cajon, CA 92019-4795","619-328-1335","","http://www.lamaestra.org",-116.9445603,32.79378616,"92019",45
5635,"Mobile Medical Van","251 N Bayou St, Mobile, AL 36603-5827","251-690-8823","","http://familyhealthalabama.org",-88.0547138,30.69226926,"36603",16
5636,"Benjamin Franklin Elementary School - Sbhc","426 W Main St, Meriden, CT 06451-3802","203-235-3463","","http://www.chc1.com",-72.8176477,41.53995707,"06451",40
5637,"Bessemer- Satellite","608 18th St N, Bessemer, AL 35020-4859","205-428-2810","","http://www.specialkindofcaring.org",-86.95836691,33.40362703,"35020",6
5638,"Frontenac High School","201 S Crawford St, Frontenac, KS 66763-2420","620-231-7550","","",-94.68896264,37.4537828,"66763",40
5639,"San Ysidro Health Children's Dental Center at Rady Children's Hospital","8110 Birmingham Way, San Diego, CA 92123-2758","","","",-117.15262183,32.79672251,"92123",40
5640,"Physicians for Women and Families","23 Willow Dr, Auxier, KY 41602-9259","606-886-8997","","http://www.bshc.org",-82.75505166,37.729959,"41602",47.5
5641,"Tensas School-Based Health Center","720 Plank Rd, Saint Joseph, LA 71366-6616","318-766-1967","","",-91.23866284,31.92252677,"71366",38
5642,"Lchc @ Longfellow Elementary","819 Kentucky Ave Rm 135/139, Sheboygan, WI 53081-4954","920-459-3580","","",-87.71377869,43.74209352,"53081",40
5643,"Cumberland County Health Department","1503 S Main St, Crossville, TN 38555-5967","931-484-6196","","",-85.01066417,35.93046515,"38555",40
5644,"Kheir Center","3727 W 6th St Ste 200, Los Angeles, CA 90020-5108","213-637-1070","","http://www.lakheir.org",-118.30369249,34.0635835,"90020",50
5645,"Cllute Intermediate Community Health Network","421 E Main St, Clute, TX 77531-4726","281-824-1480","","",-95.40043557,29.02370804,"77531",10
5646,"Necc - Harbor City Health Center","1403 Lomita Blvd Ste 100, Harbor City, CA 90710-2084","310-784-5800","Clau@necc.net","http://www.necc.net",-118.301854675589,33.7977655710487,"90710",40
5647,"Drewicz Elementary School - School Based Health Center","34 Hood St, Lynn, MA 01905","781-596-2502 x2701","","",-70.96970228,42.46123734,"01905",35
5648,"Stapley Integrated Care","1111 S Stapley Dr, Mesa, AZ 85204-5059","602-302-7900","","",-111.80417849,33.394914,"85204",56
5649,"Open Door Pediatrics and Family Medicine","215 S Hutchinson Ave, Muncie, IN 47303-4774","765-286-6000","","http://www.opendoorhs.org",-85.41283593,40.19229883,"47303",40
5650,"Martinez Health Center -Specialty 2a","2500 Alhambra Ave # 2A, Martinez, CA 94553-3156","925-370-5851","","",-122.130924169343,38.0062890495349,"94553",60
5651,"St. Mary's Center for Women & Children (Bridge Home, Margaret's House, Mary's Home)","90 Cushing Ave, Dorchester, MA 02125-2028","617-436-8600","","",-71.06406775,42.31401996,"02125",20
5652,"Care Resource Community Health Center, Inc","3801 Biscayne Blvd Ste 220, Miami, FL 33137-9800","305-576-1234","","",-80.189270320851,25.8126740499835,"33137",48
5653,"Quality of Life Health Complex ","1411 Piedmont Cutoff, Gadsden, AL 35903-2708","256-492-0131","","http://www.qolhs.org",-85.95639949,33.99988754,"35903",48
5654,"Day Street Community Health Center","49 Day St, Norwalk, CT 06854-4901","203-854-9292","","http://www.chc1.com",-73.41706798,41.09378399,"06854",42.5
5655,"East Haven High School Sbhc","35 Wheelbarrow Ln, East Haven, CT 06513-2003","203-468-2367","","",-72.8317808648198,41.3263074515628,"06513",40
5656,"Fremont Wellness Center","7821 Avalon Blvd, Los Angeles, CA 90003-2358","323-406-5800","","http://www.ummaclinic.org",-118.26522447,33.96818517,"90003",40
5657,"Lifelong Ashby Health Center","3075 Adeline St Ste 280, Berkeley, CA 94703-2580","510-981-4137","","",-122.2695702,37.85307685,"94703",50
5658,"Community Health Alliance Mobile  Dental Restorative Van","680 S Rock Blvd, Reno, NV 89502-4113","775-770-3559","","",-119.76241255,39.50213355,"89502",25
5659,"Community Health Centers of Greater Dayton - Patterson Park Health Center","1074 Patterson Rd, Dayton, OH 45420-1522","937-258-6330","","",-84.14939036,39.72398393,"45420",45
5660,"Martinez Health Center-Specialty 3a","2500 Alhambra Ave # 3A, Martinez, CA 94553-3156","925-370-5851","","",-122.130919924167,38.0063488311547,"94553",60
5661,"Family Medicine Health Center-Raymond","777 N Raymond St, Boise, ID 83704-9251","208-514-2500","","http://www.fmhcidaho.org",-116.264439,43.61151599,"83704",51
5662,"Accesshealth Mabscott Clinic","200 Raleigh Ave, Beckley, WV 25801-0002","304-252-8541","","http://www.accesshealthwv.com",-81.1978964,37.77120077,"25801",42
5663,"Onida Clinic","303 S Main St, Onida, SD 57564-2160","605-258-2635","","http://www.ruralhc.net",-100.06620685,44.70542961,"57564",43.5
5664,"Children&#39;s Dental Center - 3rd Floor","79 W Alexandrine St, Detroit, MI 48201-2015","313-416-6262","","",-83.06131016,42.3500367,"48201",51
5665,"Buttonwood","600 Pemberton Browns Mills Rd, Pemberton, NJ 08068","609-894-1100 x4515","","http://www.sjfmc.org",-74.63813302,39.96657548,"08068",58
5666,"Lifqhc South Ocean Care","101 S Bergen Pl, Freeport, NY 11520-3528","516-623-3600","","http://www.southoceancare.com",-73.58771632,40.65376677,"11520",45
5667,"Northwest Community Health Center - Libby Middle High School","150 Education Way, Libby, MT 59923-2816","406-293-3755","","http://na",-115.57028133,48.39405207,"59923",2
5668,"Via Care 280 Health Center","280 S Atlantic Blvd, East Los Angeles, CA 90022-1733","323-268-9191","","",-118.15312064,34.03264421,"90022",40
5669,"Family Health Center-Rice Lake Dental Center","1501 W Stout St, Rice Lake, WI 54868-5001","715-236-8900","",NA,-91.75598766,45.50788446,"54868",45
5670,"Sherman Jr/Sr High Wellness Center","10008 Coal River Rd, Seth, WV 25181","304-837-3399","margmartin@frontier.com","",-81.62104877,38.11434801,"25181",20
5671,"San Ysidro Adult Day Healthcare Center","3364 Beyer Blvd, San Diego, CA 92173-1322","619-662-4104","","http://www.syhc.org",-117.06109687,32.56617013,"92173",40
5672,"Grace Chc Sbh Right Fork School","5296 Highway 221, Stoney Fork, KY 40988-8930","606-337-8108","","http://www.gracechc.com",-83.51417594,36.83904764,"40988",40
5673,"Harbor Community Health Center-Plymouth","10 Cordage Park Cir Ste 115, Plymouth, MA 02360-7318","508-778-5470","","http://www.hhsi.us",-70.68839252,41.97808138,"02360",67.5
5674,"Ribault Middle School Clinic","3610 Ribault Scenic Dr, Jacksonville, FL 32208-2918","904-394-8069","","",-81.71115739,30.39160403,"32208",40
5675,"Ccb Pharmacy","2016 Ave Borinquen, San Juan, PR 00915-3823","787-268-4171 x5036","","",-66.05623409,18.43775573,"00915",NA
5676,"Akhiok Health Clinic","125 Airport Way, Kodiak, AK 99615","907-836-2230","","http://www.kodiakhealthcare.org",-154.17506802,56.94406038,"99615",35
5677,"Brickett Elementary School, School Based Health Center","123 Lewis St, Lynn, MA 01902-4836","781-477-7333","","",-70.930971,42.466104,"01902",NA
5678,"La Fe Administration","1314 E Yandell Dr, El Paso, TX 79902-5529","915-534-7979","","",-106.47999792,31.77022191,"79902",40
5679,"Chapcare Montana","455 W Montana St, Pasadena, CA 91103-1327","626-993-1212","","http://chapcare.org",-118.16027095,34.18090571,"91103",40
5680,"Aza Health","105 Whitehall Dr # 109-114, Saint Augustine, FL 32086-5269","904-829-2782","","http://www.azahealth.org",-81.33133246,29.85692651,"32086",40
5681,"Flemingburg County Family H.c","520 Elizaville Ave, Flemingsburg, KY 41041-1141","606-845-0028","",NA,-83.74388025,38.4200491,"41041",44
5682,"Nathan B. Young Elementary School","14120 NW 24th Ave, Opa Locka, FL 33054-3729","305-685-7204","","http://www.jtchc.org",-80.2397205,25.9039798,"33054",35
5683,"Gilbertown Medical/Dental Center","140 Front St Ste 4, Gilbertown, AL 36908-5510","251-843-5537","","http://www.franklinprimary.org",-88.32203236,31.87727919,"36908",40
5684,"Andrews Elementary School Based Health Clinic","13072 County Line Rd, Andrews, SC 29510-6811","843-264-3419","","",-79.57037982,33.46295154,"29510",24
5685,"Fairfield Community Health Center - Baltimore","1055 W Market St Ste H, Baltimore, OH 43105-1284","740-862-4183","","http://www.fairfieldchc.org",-82.61405002,39.84556452,"43105",40
5686,"Peach Tree-Yuba City/Colusa","1275 Tharp Rd, Yuba City, CA 95993-2645","530-749-3242","","",-121.64841504,39.14583944,"95993",47.5
5687,"Homeplace Clinic - Grayson","300 W Main St, Grayson, KY 41143-1274","606-474-5109","","",-82.95131028,38.33290133,"41143",40
5688,"Schg Administrative Site","6303 Owensmouth Ave # 1072, Woodland Hills, CA 91367-2264","213-478-0730","kathy@serenitycarehealthgroup.org","http://www.serenitycarehealthgroup.com",-118.60156784,34.18493429,"91367",40
5689,"Rogers City Area Schools","532 W Erie St, Rogers City, MI 49779-1635","989-734-9150","","http://tbchs.org",-83.82126374,45.41632321,"49779",20
5690,"Montclair Community Health Center","5050 San Bernardino St, Montclair, CA 91763-2326","909-281-5800","drterrychase@yahoo.com","http://www.healthservicealliance.org",-117.69449833,34.07767852,"91763",40
5691,"Henrietta Johnson Medical Center @ Eastside","600 N Lombard St, Wilmington, DE 19801-4429","302-761-4610","","http://www.hjmc.org",-75.54491704,39.74014988,"19801",44
5692,"Manley Hot Springs Health Clinic","Elliott Hwy, Manley Hot Springs, AK 99756","907-452-8251 x3402","","http://www.tananachiefs.org",-150.17466512,65.15783102,"99756",168
5693,"Biscayne Gardens Elementary School","560 NW 151st St, Miami, FL 33169-6613","305-681-5721","","http://www.jtchc.org",-80.20874232,25.9131305,"33169",35
5694,"Women, Infants, and Children (Wic) Talbot County","215 Bay St, Easton, MD 21601-2782","410-479-8060","","http://www.choptankhealth.org",-76.07917048,38.77694489,"21601",16
5695,"Koror Community Health Center (Outpatient Department)","PO BOX 6027, Koror, PW 96940","680-488-8513","","http://none",134.476127820551,7.34227207625447,"96940",75
5696,"Wic Van (Ronald Mcdonald Care Mobile)","680 S Rock Blvd, Reno, NV 89502-4113","775-870-5584","","",-119.762453834156,39.5021814709516,"89502",8
5697,"Northeast Community Clinic Mobile Medical Van","5820 N Figueroa St, Los Angeles, CA 90042-4228","323-255-6000","Clau@necc.net","http://www.necc.net",-118.19132756,34.1102917,"90042",20
5698,"Family Oriented Primary Health Care Clin","251 N Bayou St, Mobile, AL 36603-5827","251-690-8158","","http://familyhealthalabama.org",-88.0546333306686,30.6922391590656,"36603",74
5699,"Hope Family Care Center, 3027 Prospect Ave., Kansas City, Mo 64128","3027 Prospect Ave, Kansas City, MO 64128-1530","","jeremyk@hfcckc.org","",-94.55275774,39.07066387,"64128",NA
5700,"Healthy Connections-Little Rock Midtown","1100 N University Ave Ste 260, Little Rock, AR 72207-6367","479-437-3449","","",-92.34150749,34.761816,"72207",50
5701,"Bentley Health Center","12633 Bentley St, Waterford, CA 95386-9011","209-394-7913","","http://www.visitlch.org",-120.76090554,37.64096818,"95386",45
5702,"Cahc St. Pauls Community Church","4427 Franklin Blvd Fl 1, Cleveland, OH 44113-2845","216-781-6228 x622","","http://www.carealliance.org/",-81.71743949,41.484978,"44113",4
5703,"San Ysidro Health Maternal &amp; Child Health Center","4050 Beyer Blvd, San Ysidro, CA 92173-2007","619-662-4100","","",-117.04640683,32.55831483,"92173",40
5704,"Southern West Virginia Health System-Gilbert","202 Larry Joe Harless Dr, Gilbert, WV 25621","304-664-6270","","",-81.8649825,37.61190379,"25621",40
5705,"Lchc at the Gallery","3824 W Ogden Ave Fl 1, Chicago, IL 60623-2458","872-588-3000","","http://lawndale.org",-87.72083523,41.85264916,"60623",15
5706,"Comc Camdenton School Site","PO BOX 1409, Camdenton, MO 65020-1409","573-346-5651","","",-92.77612999,38.025699,"65020",40
5707,"Mobile Health Services Van","340 Printers Pkwy, Colorado Springs, CO 80910-3190","719-471-2789","","http://www.peakvista.org",-104.78642189,38.82677646,"80910",40
5708,"Oneworld West","4101 S 120th St, Omaha, NE 68137-1250","402-502-3907","","http://www.oneworldomaha.org (will add site when approved to web site)",-96.10072342,41.21966683,"68137",50
5709,"Vna Health Center - Elgin Wing","620 Wing St, Elgin, IL 60123-2800","847-717-6455","","http://www.vnahealth.com",-88.29469507,42.04523118,"60123",44
5710,"Open Door Health Services Behavioral Health","1804 W Royale Dr, Muncie, IN 47304-2243","765-286-6000","","",-85.40797075,40.21605953,"47304",50
5711,"Laupahoehoe Community Public Charter School","35-2065 Old Mamalahoa Hwy, Laupahoehoe, HI 96764","808-962-2200","","",-155.22649797,19.98036297,"96764",24
5712,"Lewin g Joel School Sbhc","137A Glenwood Rd, Clinton, CT 06413-1425","860-664-6501","","",-72.52455578,41.30429925,"06413",24
5713,"Ncfmc-Administrative Site","122 S Confederate Ave, Rock Hill, SC 29730-5350","803-325-0000","","",-81.02195907,34.92185678,"29730",NA
5714,"Genesis Family Health Dental Clinic","310 E Walnut St Ste ll5, Garden City, KS 67846-5572","620-272-0570","","http://www.genesisfamilyhealth.org",-100.86910829,37.97107481,"67846",40
5715,"Southampton Street Shelter","112 Southampton St, Boston, MA 02118-2711","617-534-2881","","",-71.06940878,42.33200025,"02118",20
5716,"Brusly School Based Health Center","630 N Vaughn Dr, Brusly, LA 70719-2217","225-385-2668","","http://arborfamilyhealth.org",-91.23796219,30.39542834,"70719",40
5717,"Arcare - 60","601 Julia Ave E, Wynne, AR 72396-3506","870-238-0377","","http://www.arcare.net",-90.78692374,35.2184455,"72396",49
5718,"Foremost Family Health Center - Balch Springs","3515 Shepherd Ln, Balch Springs, TX 75180-2325","972-588-4532 x100","","http://www.foremostfhc.org",-96.61413044,32.72167806,"75180",45
5719,"Frayser Health Center","969 Frayser Blvd, Memphis, TN 38127-5977","901-842-3162","","http://www.christcommunityhealth.org",-90.03174795,35.21724381,"38127",49
5720,"Arcare-89","502 Richie Rd, Cabot, AR 72023-3309","870-347-2534","","http://www.arcare.net",-92.03227226,34.96820601,"72023",40
5721,"Chicago Family Health Center- Chicago Lawn","3223 W 63rd St, Chicago, IL 60629-3333","773-768-5000","","http://www.chicagofamilyhealth.org",-87.70413124,41.77891952,"60629",40
5722,"Association for Individual Development - Bowes Road","1135 Bowes Rd, Elgin, IL 60123-5541","847-717-6455","","http://www.vnahealth.com",-88.30493826,42.00884756,"60123",1
5723,"Tennyson Health Center","27035 Whitman St Rm A-1, Hayward, CA 94544-4027","510-582-1635","","http://www.tvhc.org",-122.06586346,37.64220287,"94544",40
5724,"Berry Road Site","96 Berry Rd, Houston, TX 77022-3057","713-734-0199","ldarden@centralcarechc.org","http://www.centralcarechc.org",-95.37655573,29.8374659,"77022",40
5725,"Harvest Time International, Inc.","225 N Kennel Rd, Sanford, FL 32771-8814","407-428-5751","","",-81.31037266,28.81472425,"32771",21
5726,"Teche Action Clinic","1115 Weber St, Franklin, LA 70538-4124","337-828-2550","","http://www.tabhealth.org",-91.50530954,29.79841615,"70538",72
5727,"Family Wellness Center - Courage Building","453 1st St, Woodland, CA 95695-4023","530-662-2211","","",-121.77311533,38.67578966,"95695",45
5728,"Queenscare Health Centers","150 N Reno St, Los Angeles, CA 90026-4656","213-380-7298","","http://queenscarehealthcenters.org/",-118.28041776,34.07274214,"90026",52
5729,"Enterprise Valley Med Clinic, Inc.","223 S 200 E, Enterprise, UT 84725","435-878-2281","","http://evmc.org",-113.71628534,37.57018773,"84725",48
5730,"Project Luna","780 Bay Blvd Ste 200, Chula Vista, CA 91910-5260","619-662-4100","","",-117.09266912,32.6194188,"91910",10
5731,"Sunset Chc School-Based Clinic, Mohawk Valley School - Mohawk Valley School District No.17","5151 S Avenue 39 E, Roll, AZ 85347-9500","928-785-8371","","http://www.sunsetcommunityhealthcenter.org",-113.97069736,32.75176827,"85347",1.5
5732,"Gallia County","3086 State Route 160, Gallipolis, OH 45631-8409","740-446-5500","","http://www.hopewellhealth.org",-82.23506168,38.84518608,"45631",40
5733,"Dhc - Moorhead Central School","506 W Washington St, Moorhead, MS 38761-6605","662-246-5680","","",-90.51260139,33.44988043,"38761",24
5734,"Neighborcare Health at Dearborn Park International School","2820 S Orcas St, Seattle, WA 98108-3066","206-548-3166","","http://www.neighborcare.org",-122.296284,47.552265,"98108",32
5735,"Western Wayne Southwest Center","25650 Outer Dr, Lincoln Park, MI 48146-2096","734-941-4991","","",-83.17041604,42.26465985,"48146",40
5736,"Tri-State Community Healthcare Center-Adelanto","11888 Bartlett Ave, Adelanto, CA 92301-1709","760-530-9944","","",-117.40683166,34.57927948,"92301",40
5737,"Frontenac Junior High School","208 S Cayuga St, Frontenac, KS 66763-2410","620-232-6370","","",-94.68664658,37.45277125,"66763",40
5738,"Whwc Sud Clinic","104 Logan St, Williamson, WV 25661-3606","304-236-5902","","http://www.williamsonhealthwellness.com",-82.27624811,37.67321874,"25661",53
5739,"Tuskegee Quality Health Care","1201 Notasulga Rd, Tuskegee, AL 36083-7131","334-727-7211","","http://www.qolhs.org",-85.69188308,32.43735553,"36083",44
5740,"Reavis School Based Health Center","834 E 50th St, Chicago, IL 60615-2620","773-535-1060","","http://www.nearnorth.org",-87.60513086,41.80410246,"60615",40
5741,"Camillus House Fpl Welcome Center","1545 NW 7th Ave, Miami, FL 33136-1403","305-577-4840","","http://www.camillushealth.org",-80.20689058,25.78996508,"33136",40
5742,"Regenesis Health Care-Spartanburg","750 S Church St, Spartanburg, SC 29306-5348","864-582-2411","","http://www.myrhc.org",-81.93121782,34.93313733,"29306",44
5743,"Melba Elementary, Jr and Sr High School","521 Carrie Rex Ave, Melba, ID 83641-5198","208-495-1011","","http://www.trhs.org",-116.52987936,43.37783517,"83641",24
